timeSeries,lon,lat
"2507",-155.76833,57.57243
"2508",-155.73482,57.572903
"2509",-154.47783,57.575138
"2510",-153.9583,57.57605
"2511",-153.82422,57.57593
"2512",-153.774,57.566895
"2513",-153.7236,57.584705
"2536",-155.95258,57.56967
"2537",-155.85208,57.57121
"2538",-155.78508,57.572193
"2539",-155.7185,57.58209
"2540",-154.4947,57.584026
"2541",-154.42755,57.57532
"2542",-154.39413,57.584385
"2543",-153.95828,57.585003
"2544",-153.79071,57.57588
"2545",-153.75713,57.584774
"2546",-152.19812,57.580906
"2572",-156.03734,57.586227
"2573",-155.96982,57.578358
"2574",-155.85301,57.589115
"2575",-155.81949,57.589607
"2576",-155.78552,57.581142
"2577",-154.47795,57.58409
"2578",-154.46118,57.584156
"2579",-154.44443,57.584217
"2580",-154.39423,57.59334
"2581",-153.95828,57.59396
"2582",-153.80742,57.58486
"2583",-153.757,57.602684
"2584",-152.16414,57.589367
"2613",-156.00433,57.595726
"2614",-155.81995,57.59856
"2615",-155.76921,57.590336
"2616",-155.71893,57.59104
"2617",-154.39433,57.602295
"2618",-153.95827,57.602913
"2619",-153.77373,57.611668
"2620",-153.53897,57.602066
"2641",-154.37766,57.6113
"2642",-153.79044,57.62065
"2643",-153.5893,57.60224
"2644",-153.57253,57.602184
"2645",-153.53886,57.61102
"2646",-152.16368,57.59832
"2665",-155.72023,57.617893
"2666",-154.36098,57.620304
"2667",-153.95824,57.629776
"2668",-153.80722,57.62068
"2669",-153.5723,57.620094
"2670",-153.53874,57.619976
"2671",-152.41515,57.60178
"2672",-152.14644,57.60702
"2690",-155.70346,57.618126
"2691",-154.34428,57.629307
"2692",-153.82396,57.629658
"2693",-153.60587,57.620205
"2694",-153.5554,57.62899
"2695",-152.4479,57.620106
"2696",-152.41475,57.61073
"2697",-152.36403,57.61903
"2698",-152.14551,57.624924
"2715",-154.31079,57.63835
"2716",-153.84067,57.64759
"2717",-153.63924,57.638214
"2718",-153.57208,57.638004
"2719",-152.43033,57.6378
"2720",-152.38039,57.6282
"2721",-152.19629,57.61671
"2743",-155.70433,57.63603
"2744",-154.31087,57.647305
"2745",-153.9918,57.638737
"2746",-153.95822,57.638733
"2747",-153.85745,57.64761
